Protein	G_niphandrodes_count
XP_011132724.1 T-complex 1 subunit beta	1
XP_011132723.1 putative 60S ribosomal protein L10	1
XP_011132722.1 hypothetical protein GNI_149330	1
XP_011132721.1 hypothetical protein GNI_149320	1
XP_011132720.1 transcription factor S-II, centr...	1
XP_011132719.1 hypothetical protein GNI_149210	1
XP_011132718.1 hypothetical protein GNI_149200	1
XP_011132596.1 uracil-DNA glycosylase, partial	1
XP_011132592.1 channel, hemolysin III family pr...	1
XP_011132594.1 hexokinase	1
XP_011132470.1 UDP-glycosyltransferase	1
XP_011132468.1 hypothetical protein GNI_137720	1
XP_011132467.1 hypothetical protein GNI_137710	1
XP_011132466.1 PAN domain protein	1
XP_011132465.1 hypothetical protein GNI_137510	1
XP_011132464.1 hypothetical protein GNI_137410	1
XP_011132463.1 hypothetical protein GNI_137310	1
XP_011132462.1 hypothetical protein GNI_137300	1
XP_011132461.1 glycosyltransferase family 28 ca...	1
XP_011132460.1 putative transmembrane protein	1
XP_011132459.1 helicase	1
XP_011132458.1 inner membrane complex protein	1
XP_011132457.1 anamorsin	1
XP_011132456.1 LPS glycosyltransferase	1
XP_011132455.1 SOH1 family protein	1
XP_011132454.1 putative transmembrane protein	1
XP_011132453.1 putative transmembrane protein	1
XP_011132452.1 hypothetical protein GNI_136930	1
XP_011132451.1 putative transmembrane protein	1
XP_011132450.1 hypothetical protein GNI_136910	1
XP_011132449.1 hypothetical protein GNI_136900	1
XP_011132448.1 hypothetical protein GNI_136890	1
XP_011132469.1 hypothetical protein GNI_137730	1
XP_011132471.1 poly(ADP-ribose) glycohydrolase ...	1
XP_011132495.1 hypothetical protein GNI_138450	1
XP_011132472.1 putative transmembrane protein	1
XP_011132493.1 hypothetical protein GNI_138430	1
XP_011132492.1 hypothetical protein GNI_138420	1
XP_011132491.1 hypothetical protein GNI_138410	1
XP_011132490.1 putative transmembrane protein	1
XP_011132489.1 putative transmembrane protein	1
XP_011132488.1 hypothetical protein GNI_138380	1
XP_011132487.1 putative KH domain protein	1
XP_011132486.1 putative structural maintenance ...	1
XP_011132485.1 putative transmembrane protein	1
XP_011132484.1 aspartate-semialdehyde dehydroge...	1
XP_011132483.1 adaptor complex sigma subunit	1
XP_011132482.1 phosphoenolpyruvate carboxylase	1
XP_011132481.1 putative zinc finger in N-recognin	1
XP_011132480.1 putative malate:quinone oxidored...	1
XP_011132479.1 putative malate:quinone oxidored...	1
XP_011132478.1 putative ATP-dependent RNA helicase	1
XP_011132477.1 hypothetical protein GNI_138080,...	1
XP_011132476.1 chaperone DnaJ	1
XP_011132475.1 protein kinase domain protein	1
XP_011132474.1 putative acetyl-CoA carboxylase	1
XP_011132473.1 protein phosphatase 2C	1
XP_011132447.1 hypothetical protein GNI_136880	1
XP_011132445.1 putative U2 snRNP auxiliary fact...	1
XP_011132444.1 putative transmembrane protein	1
XP_011132443.1 peptidyl-prolyl cis-trans isomer...	1
XP_011132418.1 NOL1/NOP2/sun family protein	1
XP_011132417.1 hypothetical protein GNI_136310	1
XP_011132416.1 putative transmembrane protein	1
XP_011132415.1 preprotein translocase subunit S...	1
XP_011132414.1 RNA recognition motif protein, p...	1
XP_011132413.1 hypothetical protein GNI_136180	1
XP_011132412.1 hypothetical protein GNI_136170	1
XP_011132411.1 putative SF-assemblin	1
XP_011132410.1 putative ring box protein 1	1
XP_011132409.1 hypothetical protein GNI_136140	1
XP_011132408.1 DNA-directed RNA polymerase subunit	1
XP_011132407.1 putative transmembrane protein	1
XP_011132406.1 hypothetical protein GNI_136110	1
XP_011132405.1 hypothetical protein GNI_136010	1
XP_011132404.1 hypothetical protein GNI_136000	1
XP_011132403.1 flavodoxin	1
XP_011132402.1 putative AAA-ATPase	1
XP_011132401.1 putative DEAD-family helicase	1
XP_011132400.1 hypothetical protein GNI_135870	1
XP_011132399.1 hypothetical protein GNI_135770	1
XP_011132397.1 hypothetical protein GNI_135750	1
XP_011132419.1 S54 family peptidase	1
XP_011132420.1 putative transmembrane protein	1
XP_011132421.1 WD domain, G-beta repeat protein	1
XP_011132433.1 hypothetical protein GNI_136560	1
XP_011132442.1 DNA ligase	1
XP_011132441.1 hypothetical protein GNI_136730	1
XP_011132440.1 peptidyl-tRNA hydrolase type 2	1
XP_011132439.1 hypothetical protein GNI_136710	1
XP_011132438.1 putative ubiquitin domain protein	1
XP_011132437.1 Skp1 family, tetramerization dom...	1
XP_011132436.1 putative Skp1 family protein	1
XP_011132435.1 putative helicase	1
XP_011132434.1 NLI interacting factor-like phos...	1
XP_011132432.1 hypothetical protein GNI_136550	1
XP_011132422.1 hypothetical protein GNI_136360	1
XP_011132431.1 hypothetical protein GNI_136540	1
XP_011132430.1 hypothetical protein GNI_136440	1
XP_011132429.1 hypothetical protein GNI_136430	1
XP_011132428.1 putative transmembrane protein	1
XP_011132427.1 hypothetical protein GNI_136410	1
XP_011132426.1 hypothetical protein GNI_136400	1
XP_011132425.1 hypothetical protein GNI_136390	1
XP_011132424.1 hypothetical protein GNI_136380	1
XP_011132423.1 transketolase	1
XP_011132494.1 temperature-dependent protein af...	1
XP_011132496.1 ethanolaminephosphotransferase, ...	1
XP_011132593.1 hypothetical protein GNI_141420	1
XP_011132569.1 hypothetical protein GNI_141000	1
XP_011132567.1 hypothetical protein GNI_140890	1
XP_011132566.1 splicing factor 3B subunit 1	1
XP_011132565.1 hypothetical protein GNI_140780	1
XP_011132564.1 hypothetical protein GNI_140770	1
XP_011132563.1 WD repeat protein	1
XP_011132562.1 hypothetical protein GNI_140750	1
XP_011132561.1 hypothetical protein GNI_140740	1
XP_011132560.1 DNA topoisomerase 2	1
XP_011132559.1 aldo-keto reductase	1
XP_011132558.1 patched family protein	1
XP_011132557.1 hypothetical protein GNI_140700	1
XP_011132556.1 succinate dehydrogenase flavopro...	1
XP_011132555.1 hypothetical protein GNI_140680	1
XP_011132554.1 heat shock protein 70	1
XP_011132553.1 putative DNA replication factor ...	1
XP_011132552.1 hypothetical protein GNI_140650,...	1
XP_011132551.1 hypothetical protein GNI_140550,...	1
XP_011132550.1 hypothetical protein GNI_140450	1
XP_011132549.1 amidohydrolase, partial	1
XP_011132548.1 amidohydrolase	1
XP_011132547.1 amidohydrolase 2	1
XP_011132568.1 hypothetical protein GNI_140900	1
XP_011132570.1 hypothetical protein GNI_141010	1
XP_011132497.1 cytidylyltransferase	1
XP_011132571.1 putative ubiquitination factor	1
XP_011132788.1 hypothetical protein GNI_151520,...	1
XP_011132591.1 hypothetical protein GNI_141400	1
XP_011132590.1 DNA-directed RNA polymerase fami...	1
XP_011132589.1 hypothetical protein GNI_141290,...	1
XP_011132588.1 cyclophilin-like protein	1
XP_011132587.1 hypothetical protein GNI_141270	1
XP_011132586.1 hypothetical protein GNI_141260	1
XP_011132585.1 DNA repair helicase rad25	1
XP_011132584.1 1-acyl-sn-glycerol-3-phosphate a...	1
XP_011132583.1 hypothetical protein GNI_141140	1
XP_011132582.1 putative transmembrane protein	1
XP_011132581.1 hypothetical protein GNI_141120	1
XP_011132580.1 putative tRNA (guanine-N(1)-)-me...	1
XP_011132579.1 hypothetical protein GNI_141100	1
XP_011132578.1 hypothetical protein GNI_141090	1
XP_011132577.1 hypothetical protein GNI_141080	1
XP_011132576.1 hypothetical protein GNI_141070	1
XP_011132575.1 X-pro dipeptidyl-peptidase, S15 ...	1
XP_011132574.1 hypothetical protein GNI_141050	1
XP_011132573.1 hypothetical protein GNI_141040	1
XP_011132572.1 putative NAD(P)H-hydrate epimerase	1
XP_011132546.1 U2 small nuclear ribonucleoprote...	1
XP_011132545.1 hypothetical protein GNI_140300	1
XP_011132544.1 putative transmembrane protein	1
XP_011132543.1 lysine-tRNA ligase	1
XP_011132518.1 hypothetical protein GNI_139130	1
XP_011132517.1 putative hydroxyacylglutathione ...	1
XP_011132516.1 putative chaperonin containing T...	1
XP_011132515.1 putative eukaryotic translation ...	1
XP_011132514.1 hypothetical protein GNI_138910	1
XP_011132513.1 hypothetical protein GNI_138900	1
XP_011132512.1 hypothetical protein GNI_138890	1
XP_011132511.1 hypothetical protein GNI_138880	1
XP_011132510.1 hypothetical protein GNI_138870	1
XP_011132509.1 hypothetical protein GNI_138770	1
XP_011132508.1 putative SET and MYND domain pro...	1
XP_011132507.1 purine nucleoside phosphorylase ...	1
XP_011132506.1 hypothetical protein GNI_138740	1
XP_011132505.1 hypothetical protein GNI_138640	1
XP_011132504.1 hypothetical protein GNI_138630	1
XP_011132503.1 MiaB-like tRNA modifying enzyme,...	1
XP_011132502.1 Nop14-like family protein	1
XP_011132501.1 hypothetical protein GNI_138600	1
XP_011132500.1 hypothetical protein GNI_138590	1
XP_011132499.1 putative Zn-dependent hydrolase ...	1
XP_011132498.1 JAB1/Mov34/MPN/PAD-1 ubiquitin p...	1
XP_011132519.1 hypothetical protein GNI_139140	1
XP_011132520.1 cyclin-dependent kinase regulato...	1
XP_011132521.1 DHHC palmitoyltransferase	1
XP_011132533.1 integrase core domain protein, p...	1
XP_011132542.1 putative transmembrane protein	1
XP_011132541.1 hypothetical protein GNI_140080	1
XP_011132540.1 IMP-specific 5'-nucleotidase	1
XP_011132539.1 hypothetical protein GNI_140060	1
XP_011132538.1 hypothetical protein GNI_140050	1
XP_011132537.1 hypothetical protein GNI_140040	1
XP_011132536.1 hypothetical protein GNI_140030,...	1
XP_011132535.1 galactosyltransferase	1
XP_011132534.1 galactosyltransferase	1
XP_011132532.1 hypothetical protein GNI_139720,...	1
XP_011132522.1 hypothetical protein GNI_139260,...	1
XP_011132531.1 putative transmembrane protein	1
XP_011132530.1 hypothetical protein GNI_139610	1
XP_011132529.1 putative transmembrane protein	1
XP_011132528.1 DnaJ	1
XP_011132527.1 phospholipase D	1
XP_011132526.1 phospholipase D, partial	1
XP_011132525.1 hypothetical protein GNI_139380	1
XP_011132524.1 hypothetical protein GNI_139370	1
XP_011132523.1 hypothetical protein GNI_139270,...	1
XP_011132787.1 hypothetical protein GNI_151420	1
XP_011132790.1 hypothetical protein GNI_151720,...	1
XP_011132789.1 hypothetical protein GNI_151620	1
XP_011133060.1 hypothetical protein GNI_161380	1
XP_011133058.1 hypothetical protein GNI_161360	1
XP_011133057.1 hypothetical protein GNI_161350,...	1
XP_011133056.1 hypothetical protein GNI_161240	1
XP_011133055.1 hypothetical protein GNI_161230	1
XP_011133054.1 methyltransferase	1
XP_011133053.1 AAR2 protein	1
XP_011133052.1 putative transmembrane protein	1
XP_011133051.1 60S ribosomal protein L22	1
XP_011133050.1 histone H2A	1
XP_011133049.1 putative Co-chaperone HscB	1
XP_011133048.1 protein kinase	1
XP_011133047.1 nucleolar GTP-binding protein 1	1
XP_011133046.1 40S ribosomal protein S12	1
XP_011133045.1 hypothetical protein GNI_161130	1
XP_011133044.1 putative molybdopterin biosynthe...	1
XP_011133043.1 citrate synthase, partial	1
XP_011133042.1 citrate synthase	1
XP_011133041.1 NUDIX domain protein	1
XP_011133040.1 kinesin motor domain protein	1
XP_011133039.1 anticodon-binding domain protein	1
XP_011133038.1 hypothetical protein GNI_160970	1
XP_011133059.1 hypothetical protein GNI_161370	1
XP_011133061.1 dihydrolipoamide succinyltransfe...	1
XP_011133085.1 putative transmembrane protein	1
XP_011133062.1 hypothetical protein GNI_161490	1
XP_011133083.1 hypothetical protein GNI_162610	1
XP_011133082.1 hypothetical protein GNI_162600	1
XP_011133081.1 putative phosphatidylinositol 4-...	1
XP_011133080.1 hypothetical protein GNI_162490,...	1
XP_011133079.1 signal recognition particle 19 k...	1
XP_011133078.1 endonuclease/exonuclease/phospha...	1
XP_011133077.1 hypothetical protein GNI_162370	1
XP_011133076.1 hypothetical protein GNI_162360	1
XP_011133075.1 putative transmembrane protein	1
XP_011133074.1 pre-mRNA-splicing factor prp46	1
XP_011133073.1 hypothetical protein GNI_162240,...	1
XP_011133072.1 hypothetical protein GNI_162230	1
XP_011133071.1 hypothetical protein GNI_162120,...	1
XP_011133070.1 putative Gag-pol polyprotein	1
XP_011133069.1 integrase core domain protein	1
XP_011133068.1 hypothetical protein GNI_161820,...	1
XP_011133067.1 hypothetical protein GNI_161720	1
XP_011133066.1 ribosomal RNA large subunit meth...	1
XP_011133065.1 hypothetical protein GNI_161610,...	1
XP_011133064.1 putative transmembrane protein	1
XP_011133063.1 putative transmembrane protein	1
XP_011133037.1 DNA polymerase	1
XP_011133036.1 ADP-ribosylglycohydrolase	1
XP_011133035.1 helicase	1
XP_011133034.1 hypothetical protein GNI_160830	1
XP_011133009.1 hypothetical protein GNI_158060	1
XP_011133008.1 hypothetical protein GNI_158050	1
XP_011133007.1 putative peptidyl-tRNA hydrolase	1
XP_011133006.1 tctex-1 family protein	1
XP_011133005.1 hypothetical protein GNI_157930	1
XP_011133004.1 hypothetical protein GNI_157830	1
XP_011133003.1 hypothetical protein GNI_157820	1
XP_011133002.1 putative aspartyl protease	1
XP_011133001.1 putative oocyst wall protein	1
XP_011133000.1 hypothetical protein GNI_157790	1
XP_011132999.1 peptidyl-prolyl cis-trans isomer...	1
XP_011132998.1 nucleoside transporter	1
XP_011132997.1 hypothetical protein GNI_157760	1
XP_011132996.1 hypothetical protein GNI_157750	1
XP_011132995.1 hypothetical protein GNI_157740	1
XP_011132994.1 hypothetical protein GNI_157640,...	1
XP_011132993.1 putative CSL zinc finger protein	1
XP_011132992.1 putative DNA repair protein	1
XP_011132991.1 hypothetical protein GNI_157610	1
XP_011132990.1 Cse1	1
XP_011132989.1 putative splicing factor 3b subu...	1
XP_011133010.1 hypothetical protein GNI_158070	1
XP_011133011.1 hypothetical protein GNI_158080	1
XP_011133012.1 DnaJ domain protein	1
XP_011133024.1 hypothetical protein GNI_160640	1
XP_011133033.1 hypothetical protein GNI_160730	1
XP_011133032.1 hypothetical protein GNI_160720	1
XP_011133031.1 hypothetical protein GNI_160710	1
XP_011133030.1 putative transmembrane protein	1
XP_011133029.1 AAA family ATPase	1
XP_011133028.1 Spc97/Spc98 family protein	1
XP_011133027.1 hypothetical protein GNI_160670	1
XP_011133026.1 putative transmembrane protein	1
XP_011133025.1 hypothetical protein GNI_160650	1
XP_011133023.1 hypothetical protein GNI_160630	1
XP_011133013.1 hypothetical protein GNI_158100	1
XP_011133022.1 hypothetical protein GNI_158370,...	1
XP_011133021.1 hypothetical protein GNI_158360,...	1
XP_011133020.1 hypothetical protein GNI_158260	1
XP_011133019.1 hypothetical protein GNI_158160	1
XP_011133018.1 hypothetical protein GNI_158150	1
XP_011133017.1 eukaryotic rRNA processing prote...	1
XP_011133016.1 Der1-like family protein	1
XP_011133015.1 amine-terminal domain cyclin	1
XP_011133014.1 hypothetical protein GNI_158110	1
XP_011133084.1 hypothetical protein GNI_162620	1
XP_011133086.1 hypothetical protein GNI_162640	1
XP_011132395.1 hypothetical protein GNI_135730	1
XP_011133160.1 hypothetical protein GNI_164820	1
XP_011133158.1 hypothetical protein GNI_164620	1
XP_011133157.1 putative chaperonin containing T...	1
XP_011133156.1 HD domain protein, partial	1
XP_011133155.1 40S ribosomal protein S3a	1
XP_011133154.1 S-adenosylmethionine decarboxylase	1
XP_011133153.1 hypothetical protein GNI_164480	1
XP_011133152.1 putative metallo-beta-lactamase ...	1
XP_011133151.1 hypothetical protein GNI_164460	1
XP_011133150.1 lipase	1
XP_011133149.1 Nsp1-like carboxy-terminal regio...	1
XP_011133148.1 hypothetical protein GNI_164430	1
XP_011133147.1 hexokinase	1
XP_011133146.1 hypothetical protein GNI_164410	1
XP_011133145.1 replication termination factor 2	1
XP_011133144.1 hypothetical protein GNI_164390	1
XP_011133143.1 hypothetical protein GNI_164380	1
XP_011133142.1 hypothetical protein GNI_164370	1
XP_011133141.1 MORN repeat protein	1
XP_011133140.1 inner membrane complex protein	1
XP_011133139.1 hypothetical protein GNI_164160	1
XP_011133138.1 putative dihydrodipicolinate pro...	1
XP_011133159.1 hypothetical protein GNI_164720,...	1
XP_011133161.1 RNA recognition motif protein	1
XP_011133087.1 hypothetical protein GNI_162650	1
XP_011133162.1 hypothetical protein GNI_164840	1
XP_011133183.1 60S ribosomal protein L3	1
XP_011133182.1 60S ribosomal protein L3	1
XP_011133181.1 RNA recognition motif protein	1
XP_011133180.1 hypothetical protein GNI_165380	1
XP_011133179.1 putative root hair defective 3 G...	1
XP_011133178.1 ribosomal RNA methyltransferase	1
XP_011133177.1 hypothetical protein GNI_165350	1
XP_011133176.1 hypothetical protein GNI_165250	1
XP_011133175.1 putative eukaryotic translation ...	1
XP_011133174.1 hypothetical protein GNI_165230	1
XP_011133173.1 poly(A) polymerase	1
XP_011133172.1 calcium-binding EGF domain protein	1
XP_011133171.1 hypothetical protein GNI_165200	1
XP_011133170.1 NAD(P) transhydrogenase	1
XP_011133169.1 hypothetical protein GNI_165090	1
XP_011133168.1 hypothetical protein GNI_165080	1
XP_011133167.1 hypothetical protein GNI_165070	1
XP_011133166.1 hypothetical protein GNI_165060	1
XP_011133165.1 GETHR pentapeptide repeat (5 cop...	1
XP_011133164.1 hypothetical protein GNI_164950,...	1
XP_011133163.1 hypothetical protein GNI_164850	1
XP_011133137.1 protein kinase domain protein	1
XP_011133136.1 putative TatD family hydrolase	1
XP_011133135.1 putative speckle-type POZ (SPOP)...	1
XP_011133134.1 BUD31-like protein	1
XP_011133108.1 putative transmembrane protein	1
XP_011133107.1 lipase	1
XP_011133106.1 lipase	1
XP_011133105.1 putative GMC oxidoreductase	1
XP_011133104.1 hypothetical protein GNI_163090	1
XP_011133103.1 hypothetical protein GNI_163080	1
XP_011133102.1 protein kinase domain protein	1
XP_011133101.1 putative ATP-binding domain protein	1
XP_011133100.1 hypothetical protein GNI_162960	1
XP_011133099.1 hypothetical protein GNI_162860	1
XP_011133098.1 hypothetical protein GNI_162850	1
XP_011133097.1 hypothetical protein GNI_162840	1
XP_011133096.1 hypothetical protein GNI_162830	1
XP_011133095.1 hypothetical protein GNI_162730	1
XP_011133094.1 hypothetical protein GNI_162720	1
XP_011133093.1 hypothetical protein GNI_162710	1
XP_011133092.1 hypothetical protein GNI_162700	1
XP_011133091.1 hypothetical protein GNI_162690	1
XP_011133090.1 hypothetical protein GNI_162680	1
XP_011133089.1 phenolic acid decarboxylase	1
XP_011133088.1 hypothetical protein GNI_162660	1
XP_011133109.1 signal peptide peptidase	1
XP_011133110.1 putative signal peptide peptidas...	1
XP_011133111.1 hypothetical protein GNI_163340	1
XP_011133123.1 peptidyl-prolyl cis-trans isomer...	1
XP_011133133.1 hypothetical protein GNI_164100	1
XP_011133132.1 hypothetical protein GNI_164000,...	1
XP_011133131.1 putative transmembrane protein	1
